Current Price,Last Updated Time,Symbol,_id
19570.85,08-Aug-2023 16:00:00,NIFTY 50,64ce80616bbfe736164c5082
10741.9,04-Aug-2023 16:00:00,NIFTY MIDCAP 50,64cf294176e112afdae7b98a
30824.95,08-Aug-2023 16:00:00,NIFTY IT,64d250fd53ac72cccf8058cc
